aaaGene	Human_ERR1801011
DNPH1	320
GPFGEMDG_00001	0
GPFGEMDG_00008	0
GPFGEMDG_00009	0
GPFGEMDG_00012	88
GPFGEMDG_00014	0
GPFGEMDG_00017	1889
GPFGEMDG_00018	0
GPFGEMDG_00019	767
GPFGEMDG_00022	0
GPFGEMDG_00027	0
GPFGEMDG_00029	756
GPFGEMDG_00030	0
GPFGEMDG_00032	26
GPFGEMDG_00033	188
GPFGEMDG_00034	648
GPFGEMDG_00035	139
GPFGEMDG_00036	1210
GPFGEMDG_00037	365
GPFGEMDG_00038	187
GPFGEMDG_00039	1119
GPFGEMDG_00041	609
GPFGEMDG_00043	852
GPFGEMDG_00044	517
GPFGEMDG_00045	0
GPFGEMDG_00046	0
GPFGEMDG_00048	561
GPFGEMDG_00049	1542
GPFGEMDG_00050	272
GPFGEMDG_00051	0
GPFGEMDG_00052	950
GPFGEMDG_00053	0
GPFGEMDG_00054	6813
GPFGEMDG_00055	710
GPFGEMDG_00056	560
GPFGEMDG_00057	0
GPFGEMDG_00063	0
GPFGEMDG_00071	325
GPFGEMDG_00072	3039
GPFGEMDG_00076	149
GPFGEMDG_00077	0
GPFGEMDG_00083	9388
GPFGEMDG_00084	0
GPFGEMDG_00087	91
GPFGEMDG_00092	0
GPFGEMDG_00094	248
GPFGEMDG_00095	6439
GPFGEMDG_00100	199
GPFGEMDG_00101	2704
GPFGEMDG_00102	2953
GPFGEMDG_00103	4358
GPFGEMDG_00104	0
GPFGEMDG_00106	761
GPFGEMDG_00111	1967
GPFGEMDG_00112	0
GPFGEMDG_00114	199
GPFGEMDG_00115	0
GPFGEMDG_00116	0
GPFGEMDG_00117	0
GPFGEMDG_00122	198
GPFGEMDG_00125	892
GPFGEMDG_00128	0
GPFGEMDG_00129	259
GPFGEMDG_00131	1821
GPFGEMDG_00136	0
GPFGEMDG_00137	0
GPFGEMDG_00144	0
GPFGEMDG_00145	0
GPFGEMDG_00146	0
GPFGEMDG_00147	0
GPFGEMDG_00169	1302
GPFGEMDG_00170	584
GPFGEMDG_00171	0
GPFGEMDG_00173	0
GPFGEMDG_00174	1582
GPFGEMDG_00179	1771
GPFGEMDG_00180	2393
GPFGEMDG_00186	3707
GPFGEMDG_00190	41
GPFGEMDG_00191	0
GPFGEMDG_00192	79
GPFGEMDG_00193	802
GPFGEMDG_00194	109
GPFGEMDG_00195	1003
GPFGEMDG_00201	0
GPFGEMDG_00204	0
GPFGEMDG_00205	769
GPFGEMDG_00206	0
GPFGEMDG_00208	0
GPFGEMDG_00209	0
GPFGEMDG_00212	0
GPFGEMDG_00213	0
GPFGEMDG_00214	1386
GPFGEMDG_00226	0
GPFGEMDG_00229	0
GPFGEMDG_00231	4916
GPFGEMDG_00233	1985
GPFGEMDG_00237	0
GPFGEMDG_00238	1976
GPFGEMDG_00240	117
GPFGEMDG_00241	1808
GPFGEMDG_00246	0
GPFGEMDG_00252	2782
GPFGEMDG_00255	344
GPFGEMDG_00256	0
GPFGEMDG_00259	279
GPFGEMDG_00260	787
GPFGEMDG_00261	0
GPFGEMDG_00262	3692
GPFGEMDG_00265	0
GPFGEMDG_00269	42
GPFGEMDG_00271	445
GPFGEMDG_00272	0
GPFGEMDG_00273	0
GPFGEMDG_00274	2
GPFGEMDG_00275	113
GPFGEMDG_00277	3475
GPFGEMDG_00278	0
GPFGEMDG_00283	0
GPFGEMDG_00284	191
GPFGEMDG_00285	0
GPFGEMDG_00286	262
GPFGEMDG_00288	272
GPFGEMDG_00289	0
GPFGEMDG_00290	4
GPFGEMDG_00291	0
GPFGEMDG_00292	1154
GPFGEMDG_00293	1260
GPFGEMDG_00294	412
GPFGEMDG_00295	0
GPFGEMDG_00296	39
GPFGEMDG_00297	0
GPFGEMDG_00298	877
GPFGEMDG_00299	0
GPFGEMDG_00300	0
GPFGEMDG_00301	0
GPFGEMDG_00305	44
GPFGEMDG_00306	128
GPFGEMDG_00307	0
GPFGEMDG_00308	0
GPFGEMDG_00312	0
GPFGEMDG_00315	0
GPFGEMDG_00317	0
GPFGEMDG_00318	0
GPFGEMDG_00321	94
GPFGEMDG_00322	0
GPFGEMDG_00324	739
GPFGEMDG_00326	4694
GPFGEMDG_00332	0
GPFGEMDG_00335	0
GPFGEMDG_00348	0
GPFGEMDG_00349	0
GPFGEMDG_00351	0
GPFGEMDG_00352	0
GPFGEMDG_00354	10850
GPFGEMDG_00355	616
GPFGEMDG_00362	0
GPFGEMDG_00363	0
GPFGEMDG_00364	198
GPFGEMDG_00365	0
GPFGEMDG_00366	4381
GPFGEMDG_00368	1458
GPFGEMDG_00377	0
GPFGEMDG_00378	6780
GPFGEMDG_00379	200
GPFGEMDG_00381	0
GPFGEMDG_00382	0
GPFGEMDG_00387	689
GPFGEMDG_00391	41
GPFGEMDG_00398	47
GPFGEMDG_00399	0
GPFGEMDG_00403	747
GPFGEMDG_00405	0
GPFGEMDG_00406	0
GPFGEMDG_00417	52
GPFGEMDG_00418	0
GPFGEMDG_00419	171
GPFGEMDG_00420	0
GPFGEMDG_00426	0
GPFGEMDG_00427	80
GPFGEMDG_00431	0
GPFGEMDG_00432	3024
GPFGEMDG_00433	0
GPFGEMDG_00434	0
GPFGEMDG_00436	1925
GPFGEMDG_00437	0
GPFGEMDG_00438	72
GPFGEMDG_00439	0
GPFGEMDG_00440	0
GPFGEMDG_00445	81
GPFGEMDG_00452	191
GPFGEMDG_00456	0
GPFGEMDG_00460	1
GPFGEMDG_00461	0
GPFGEMDG_00463	457
GPFGEMDG_00464	0
GPFGEMDG_00465	7748
GPFGEMDG_00466	1082
GPFGEMDG_00467	0
GPFGEMDG_00468	0
GPFGEMDG_00469	0
GPFGEMDG_00471	3108
GPFGEMDG_00515	1
GPFGEMDG_00516	0
GPFGEMDG_00532	0
GPFGEMDG_00533	754
GPFGEMDG_00534	181
GPFGEMDG_00535	86
GPFGEMDG_00536	340
GPFGEMDG_00537	321
GPFGEMDG_00538	0
GPFGEMDG_00539	0
GPFGEMDG_00540	36
GPFGEMDG_00541	0
GPFGEMDG_00544	361
GPFGEMDG_00546	715
GPFGEMDG_00557	0
GPFGEMDG_00563	183
GPFGEMDG_00564	0
GPFGEMDG_00570	0
GPFGEMDG_00572	595
GPFGEMDG_00596	1212
GPFGEMDG_00598	0
GPFGEMDG_00599	0
GPFGEMDG_00601	650
GPFGEMDG_00602	0
GPFGEMDG_00606	9
GPFGEMDG_00610	794
GPFGEMDG_00615	717
GPFGEMDG_00628	0
GPFGEMDG_00632	0
GPFGEMDG_00633	35
GPFGEMDG_00634	502
GPFGEMDG_00636	171
GPFGEMDG_00641	1007
GPFGEMDG_00644	0
GPFGEMDG_00646	442
GPFGEMDG_00647	0
GPFGEMDG_00649	863
GPFGEMDG_00650	606
GPFGEMDG_00651	0
GPFGEMDG_00652	0
GPFGEMDG_00653	0
GPFGEMDG_00655	2030
GPFGEMDG_00658	0
GPFGEMDG_00659	1157
